blend,eth_pct,phi,T_K,P_Pa,Su_m_s,dL_um
E0,0,0.7,400,15e5,0.239063,32.3188
E0,0,0.7,500,15e5,0.410236,27.9839
E0,0,0.7,600,15e5,0.637754,25.0295
E0,0,0.7,700,15e5,0.926113,22.8635
E0,0,0.7,800,15e5,1.27939,21.1934
E0,0,0.8,400,15e5,0.290837,26.5654
E0,0,0.8,500,15e5,0.490252,23.4165
E0,0,0.8,600,15e5,0.75111,21.2521
E0,0,0.8,700,15e5,1.07736,19.6539
E0,0,0.8,800,15e5,1.47252,18.4138
E0,0,0.9,400,15e5,0.337985,22.8596
E0,0,0.9,500,15e5,0.559647,20.5129
E0,0,0.9,600,15e5,0.845014,18.8904
E0,0,0.9,700,15e5,1.19719,17.6866
E0,0,0.9,800,15e5,1.61892,16.7486
E0,0,1,400,15e5,0.375193,20.5927
E0,0,1,500,15e5,0.610265,18.8115
E0,0,1,600,15e5,0.908099,17.5781
E0,0,1,700,15e5,1.2708,16.6621
E0,0,1,800,15e5,1.7002,15.9479
E0,0,1.1,400,15e5,0.397851,19.4199
E0,0,1.1,500,15e5,0.63567,18.0597
E0,0,1.1,600,15e5,0.932207,17.1235
E0,0,1.1,700,15e5,1.28855,16.4326
E0,0,1.1,800,15e5,1.70562,15.8972
E0,0,1.2,400,15e5,0.402992,19.1722
E0,0,1.2,500,15e5,0.632491,18.1505
E0,0,1.2,600,15e5,0.914114,17.4625
E0,0,1.2,700,15e5,1.24805,16.9658
E0,0,1.2,800,15e5,1.63447,16.5893
E0,0,1.3,400,15e5,0.389925,19.8147
E0,0,1.3,500,15e5,0.601154,19.0966
E0,0,1.3,600,15e5,0.856244,18.6427
E0,0,1.3,700,15e5,1.15471,18.3372
E0,0,1.3,800,15e5,1.49616,18.1228
E10,10,0.7,400,15e5,0.250846,30.8006
E10,10,0.7,500,15e5,0.430457,26.6693
E10,10,0.7,600,15e5,0.669189,23.8538
E10,10,0.7,700,15e5,0.971762,21.7895
E10,10,0.7,800,15e5,1.34246,20.1978
E10,10,0.8,400,15e5,0.304777,25.3504
E10,10,0.8,500,15e5,0.51375,22.3455
E10,10,0.8,600,15e5,0.787111,20.2801
E10,10,0.8,700,15e5,1.12899,18.755
E10,10,0.8,800,15e5,1.54309,17.5716
E10,10,0.9,400,15e5,0.353729,21.8422
E10,10,0.9,500,15e5,0.585716,19.6
E10,10,0.9,600,15e5,0.884375,18.0497
E10,10,0.9,700,15e5,1.25296,16.8994
E10,10,0.9,800,15e5,1.69433,16.0032
E10,10,1,400,15e5,0.392168,19.7013
E10,10,1,500,15e5,0.637875,17.9972
E10,10,1,600,15e5,0.949185,16.8172
E10,10,1,700,15e5,1.3283,15.9409
E10,10,1,800,15e5,1.77712,15.2576
E10,10,1.1,400,15e5,0.415324,18.6029
E10,10,1.1,500,15e5,0.663588,17.2999
E10,10,1.1,600,15e5,0.973149,16.4031
E10,10,1.1,700,15e5,1.34514,15.7413
E10,10,1.1,800,15e5,1.78054,15.2284
E10,10,1.2,400,15e5,0.420162,18.3887
E10,10,1.2,500,15e5,0.659439,17.4087
E10,10,1.2,600,15e5,0.953062,16.7488
E10,10,1.2,700,15e5,1.30123,16.2725
E10,10,1.2,800,15e5,1.70411,15.9113
E10,10,1.3,400,15e5,0.406031,19.0286
E10,10,1.3,500,15e5,0.625986,18.3391
E10,10,1.3,600,15e5,0.891613,17.9031
E10,10,1.3,700,15e5,1.20241,17.6098
E10,10,1.3,800,15e5,1.55796,17.4039
E30,30,0.7,400,15e5,0.274413,28.1554
E30,30,0.7,500,15e5,0.470899,24.3789
E30,30,0.7,600,15e5,0.732059,21.8052
E30,30,0.7,700,15e5,1.06306,19.9182
E30,30,0.7,800,15e5,1.46858,18.4632
E30,30,0.8,400,15e5,0.332656,23.2258
E30,30,0.8,500,15e5,0.560745,20.4728
E30,30,0.8,600,15e5,0.859111,18.5804
E30,30,0.8,700,15e5,1.23227,17.1831
E30,30,0.8,800,15e5,1.68425,16.099
E30,30,0.9,400,15e5,0.385216,20.0569
E30,30,0.9,500,15e5,0.637853,17.9979
E30,30,0.9,600,15e5,0.963097,16.5743
E30,30,0.9,700,15e5,1.36449,15.5181
E30,30,0.9,800,15e5,1.84515,14.6951
